word,leixing,fanyi
sat,v, 坐（sit的过去式，过去分词）
with,prep, 和……在一起；具有；用；反对；关于；包括；由于；随着；顺着；受雇于；虽然；支持；穿着；受……影响；表示与某物分离；由……负责
my,pron, 我的
friend,n, 朋友；助手；赞助者
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
well,adv, 很好地；充分地；满意地；适当地
known,adj, 已知的；知名的；大家知道的
coffee,n, 咖啡；咖啡豆；咖啡色
shop,n, 商店；店铺
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
neighboring,adj, 邻近的；附近的（等于neighbouring）
town,n, 城镇，市镇；市内商业区
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
venice,n, 威尼斯（意大利港市）
as,adv, 如同，像……一样
we,pron, 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
our,pron, 我们的
coffee,n, 咖啡；咖啡豆；咖啡色
man,n, 人；男人；人类；丈夫；雇工
called,adj, 被呼叫的
the,art, 这；那
waiter,n, 服务员，侍者
and,conj, 和，与；就；而且；但是；然后
placed,v, 放置（place的过去分词形式）
his,pron, 他的
order,n, 命令；顺序；规则；【贸易】订单
two,n, 两个
cups,n, 杯子（cup的复数形式）；拨火罐（器具）
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
coffee,n, 咖啡；咖啡豆；咖啡色
one,num, 一；一个；一岁；一点钟
on,prep, 在……之上；向，朝；关于；在……时候；由……支撑；（身上）带着；一……就；吃，喝；接近；根据；挣……钱；以……支付；以……为燃料；在……中；作为……成员；借助（仪器或器械）；与……相比；增加；靠……服用药物；（由电台或电视）播放；忙碌于
the,art, 这；那
wall,n, 墙壁，围墙；似墙之物
we,pron, 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
got,v, 得到，明白（get的过去式和过去分词）
interested,adj, 感兴趣的；有权益的；有成见的
and,conj, 和，与；就；而且；但是；然后
observed,adj, 观察的；观测的
that,det, 那，那个；那种
he,pron, 他；（泛指的）人；上帝
served,v, 服务（serve的过去分词）；服役；招待；发球
with,prep, 和……在一起；具有；用；反对；关于；包括；由于；随着；顺着；受雇于；虽然；支持；穿着；受……影响；表示与某物分离；由……负责
one,num, 一；一个；一岁；一点钟
cup,n, 杯子；奖杯；酒杯
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
coffee,n, 咖啡；咖啡豆；咖啡色
but,conj, 但是；而是；然而
he,pron, 他；（泛指的）人；上帝
paid,v, 支付；付清（pay 的过去式和过去分词）
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
two,n, 两个
as,adv, 如同，像……一样
soon,adv, 快；不久，一会儿；立刻；宁愿
as,adv, 如同，像……一样
he,pron, 他；（泛指的）人；上帝
left,adj, 左边的；左派的；剩下的
the,art, 这；那
waiter,n, 服务员，侍者
attached,adj, 附加的；依恋的，充满爱心的
piece,n, 块；件；篇；硬币
